,Date,Open,High,Low,Close,Volume,Trading Value,index,Close_1309,Date_1309,diff_1309,Close_1322,Date_1322,diff_1322,Close_1326,Date_1326,diff_1326,Close_1343,Date_1343,diff_1343,Close_1543,Date_1543,diff_1543,Close_1551,Date_1551,diff_1551,Close_1633,Date_1633,diff_1633,Close_1678,Date_1678,diff_1678,Close_1681,Date_1681,diff_1681,Close_1682,Date_1682,diff_1682,Close_1698,Date_1698,diff_1698
41,2018-03-07,4920,4960,4885,4895,604400,4895,41,33250,2018-03-07,0.00605143721633894,5860,2018-03-07,0.0,13350,2018-03-07,0.0015003750937734317,1789,2018-03-07,0.002802690582959677,31400,2018-03-07,0.0,5030,2018-03-07,-0.013725490196078383,28380,2018-03-07,-0.0017587055926837625,167,2018-03-07,-0.005952380952380931,1579,2018-03-07,-0.0018963337547408532,176,2018-03-05,0.0,1840,2018-03-07,0.0027247956403269047
42,2018-03-08,4930,4935,4850,4860,584800,4860,42,33050,2018-03-08,-0.01928783382789323,5860,2018-03-08,-0.02170283806343909,13330,2018-03-08,-0.0007496251874062887,1784,2018-03-08,0.005070422535211172,31400,2018-03-08,-0.0031746031746031633,5100,2018-03-08,0.007905138339920903,28430,2018-03-08,-0.006985679357317531,168,2018-03-08,-0.00591715976331364,1582,2018-03-08,-0.011249999999999982,176,2018-03-05,0.0,1835,2018-03-08,0.0005452562704471031
43,2018-03-09,4900,4970,4850,4855,768500,4855,43,33700,2018-03-09,-0.004431314623338234,5990,2018-03-09,-0.004983388704318914,13340,2018-03-09,-0.002243829468960401,1775,2018-03-09,0.0011280315848842815,31500,2018-03-09,-0.01869158878504673,5060,2018-03-09,0.01200000000000001,28630,2018-03-09,-0.006247830614370065,169,2018-03-09,-0.00588235294117645,1600,2018-03-09,0.008827238335435084,176,2018-03-09,-0.005649717514124242,1834,2018-03-09,-0.017148981779206873
44,2018-03-12,4980,5020,4915,4925,556200,4925,44,33850,2018-03-12,0.007440476190476275,6020,2018-03-12,0.010067114093959662,13370,2018-03-12,0.0007485029940119681,1773,2018-03-12,0.0016949152542373724,32100,2018-03-12,0.0031250000000000444,5000,2018-03-12,-0.017681728880157177,28810,2018-03-12,0.004883153121729933,170,2018-03-12,-0.005847953216374324,1586,2018-03-12,-0.014906832298136607,177,2018-03-12,0.0,1866,2018-03-12,-0.0026723677177979965
45,2018-03-13,4920,5070,4920,5060,627900,5060,45,33600,2018-03-13,0.007496251874062887,5960,2018-03-13,0.008460236886632888,13360,2018-03-13,-0.0037285607755406236,1770,2018-03-13,-0.006176305446378483,32000,2018-03-13,0.0,5090,2018-03-13,0.0019685039370078705,28670,2018-03-13,-0.008987210508123011,171,2018-03-13,0.00588235294117645,1610,2018-03-13,-0.005558987029030238,177,2018-03-13,0.005681818181818121,1871,2018-03-13,-0.0010678056593700358
46,2018-03-14,5030,5080,5010,5060,313300,5060,46,33350,2018-03-14,0.0,5910,2018-03-14,0.01025641025641022,13410,2018-03-14,0.006001500375093727,1781,2018-03-14,-0.01055555555555554,32000,2018-03-14,0.0,5080,2018-03-14,-0.0019646365422396617,28930,2018-03-14,-0.008907159986296653,170,2018-03-14,0.0,1619,2018-03-14,0.005590062111801242,176,2018-03-14,-0.005649717514124242,1873,2018-03-14,0.004828326180257525
47,2018-03-15,5090,5220,5070,5190,720900,5190,47,33350,2018-03-15,-0.002989536621823663,5850,2018-03-15,-0.010152284263959421,13330,2018-03-15,0.0075585789871503994,1800,2018-03-15,-0.0027700831024930483,32000,2018-03-14,0.0031347962382444194,5090,2018-03-15,0.0019685039370078705,29190,2018-03-15,0.0006856359273226253,170,2018-03-15,0.011904761904761862,1610,2018-03-15,0.0006215040397763438,177,2018-03-15,0.011428571428571344,1864,2018-03-15,0.0
48,2018-03-16,5170,5180,5090,5110,645300,5110,48,33450,2018-03-16,0.03400309119010814,5910,2018-03-16,0.0,13230,2018-03-16,0.006849315068493178,1805,2018-03-16,0.008379888268156499,31900,2018-03-16,0.0,5080,2018-03-16,0.007936507936507908,29170,2018-03-16,0.01637630662020917,168,2018-03-16,0.0,1609,2018-03-16,0.0,175,2018-03-16,0.0,1864,2018-03-16,0.010298102981029844
49,2018-03-19,5060,5060,4970,4990,393100,4990,49,32350,2018-03-19,0.01569858712715866,5910,2018-03-19,0.008532423208191142,13140,2018-03-19,-0.008301886792452806,1790,2018-03-19,-0.0027855153203342198,31900,2018-03-19,0.006309148264984188,5040,2018-03-19,0.008000000000000007,28700,2018-03-19,0.0077247191011236005,168,2018-03-19,0.0059880239520957446,1609,2018-03-19,0.018354430379746933,175,2018-03-16,-0.005681818181818232,1845,2018-03-19,0.0032626427406199365
50,2018-03-20,4935,4940,4885,4915,454000,4915,50,31850,2018-03-20,-0.007788161993769416,5860,2018-03-20,0.0,13250,2018-03-20,-0.006001500375093727,1795,2018-03-20,-0.002777777777777768,31700,2018-03-20,-0.007824726134585291,5000,2018-03-20,-0.001996007984031989,28480,2018-03-20,-0.0010522623640827344,167,2018-03-20,-0.011834319526627168,1580,2018-03-20,-0.002525252525252486,176,2018-03-20,0.0,1839,2018-03-20,-0.0027114967462038564
